Country;Year;ISO3166_alpha3;ISO3166_numeric;Region;SubRegion;OPEC;EU;OECD;CIS;Var;Value
Algeria;1965;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;1,289
Algeria;1966;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;1,693
Algeria;1967;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;1,578
Algeria;1968;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;1,682
Algeria;1969;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;1,775
Algeria;1970;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;2,032
Algeria;1971;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;2,288
Algeria;1972;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;2,514
Algeria;1973;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;2,739
Algeria;1974;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;3,036
Algeria;1975;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;3,378
Algeria;1976;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;3,877
Algeria;1977;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;4,4
Algeria;1978;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;4,521
Algeria;1979;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;5,42
Algeria;1980;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;5,469
Algeria;1981;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;5,889
Algeria;1982;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;6,245
Algeria;1983;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;7,011
Algeria;1984;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;7,76
Algeria;1985;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;7,966
Algeria;1986;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;8,078
Algeria;1987;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;8,158
Algeria;1988;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;8,168
Algeria;1989;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;8,553
Algeria;1990;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;9,156
Algeria;1991;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;9,069
Algeria;1992;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;9,113
Algeria;1993;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;9,079
Algeria;1994;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;8,67
Algeria;1995;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;8,433
Algeria;1996;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;8,06
Algeria;1997;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;7,986
Algeria;1998;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;8,217
Algeria;1999;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;8,11
Algeria;2000;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;8,483
Algeria;2001;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;8,782
Algeria;2002;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;9,734
Algeria;2003;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;10,125
Algeria;2004;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;10,59
Algeria;2005;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;11,034396
Algeria;2006;DZA;12;Africa;Northern Africa;1;0;0;0;oilcons_mt;11,5159
